MATERIAL;;Etiquetas de fila;NOMBRE PRODUCTO;  PRECIO  ; TOTAL BOLSAS/CAJAS;TOTAL STAND BODEGA;TOTAL EXHIBICIÓN;TOTAL CARRITO;FALTA FACTU FEEAN;VENTA INTERNA FALTA SALIDA;VITRINAS EXTERIOR;INVENTARIO FISICO;INVENTARIO SAP;DIFERENCIA;VALOR INVENTARIO;DESCONTAR;INGRESAR;Observación
116000000000000229;0229;BATAS;BATAS DE LABORATORIO S; 87.000 ;0;18;0;0;0;0;0;18;18;0;$ 1.566.000;;;OK
116000000000000230;0230;BATAS;BATAS DE LABORATORIO M; 87.000 ;0;6;1;0;0;0;0;7;7;0;$ 609.000;;;OK
116000000000000231;0231;BATAS;BATAS DE LABORATORIO L; 87.000 ;0;20;0;0;0;0;0;20;20;0;$ 1.740.000;;;OK
116000000000000232;0232;BATAS;BATAS DE LABORATORIO XL; 87.000 ;0;22;0;0;0;0;0;22;22;0;$ 1.914.000;;;OK
116000000000000172;0172;CAMISETAS;CAMISETA BAS BLANCA BORDE NEGRO HOMBRE S; 47.900 ;0;0;0;0;0;0;0;0;0;0;$ 0;;;OK
116000000000000173;0173;CAMISETAS;CAMISETA BAS BLANCA BORDE NEGRO HOMBRE M; 47.900 ;0;0;0;0;0;0;0;0;0;0;$ 0;;;OK
116000000000000174;0174;CAMISETAS;CAMISETA BAS BLANCA BORDE NEGRO HOMBRE L; 47.900 ;0;0;0;0;0;0;0;0;0;0;$ 0;;;OK
116000000000000175;0175;CAMISETAS;CAMISETA BAS BLANCA BORDE NEGRO HOMBRE XL; 47.900 ;0;0;0;0;0;0;0;0;0;0;$ 0;;;OK
116000000000000180;0180;CAMISETAS;CAMISETA BAS BLANCA BORDE NEGRO MUJER XS; 47.900 ;0;0;1;0;0;0;0;1;1;0;$ 47.900;;;OK
116000000000000181;0181;CAMISETAS;CAMISETA BAS BLANCA BORDE NEGRO MUJER S; 47.900 ;;2;;;;;;1;1;0;$ 47.900;;;OK
116000000000000182;0182;CAMISETAS;CAMISETA BAS BLANCA BORDE NEGRO MUJER M; 47.900 ;0;0;0;0;0;0;0;0;0;0;$ 0;;;OK
116000000000000183;0183;CAMISETAS;CAMISETA BAS BLANCA BORDE NEGRO MUJER L; 47.900 ;0;0;0;0;0;0;0;0;0;0;$ 0;;;OK
116000000000000184;0184;CAMISETAS;CAMISETA BAS BLANCA BORDE NEGRO MUJER XL; 47.900 ;0;0;0;0;0;0;0;0;0;0;$ 0;;;OK
116000000000000176;0176;CAMISETAS;CAMISETA BASICA NEGRA LOGO HOMBRE S; 55.000 ;;5;;;;;;5;5;0;$ 275.000;;;OK
116000000000000177;0177;CAMISETAS;CAMISETA BASICA NEGRA LOGO HOMBRE M; 55.000 ;;1;;;;;;1;1;0;$ 55.000;;;OK
116000000000000178;0178;CAMISETAS;CAMISETA BASICA NEGRA LOGO HOMBRE L; 55.000 ;;10;;;;;;10;10;0;$ 550.000;;;OK
116000000000000179;0179;CAMISETAS;CAMISETA BASICA NEGRA LOGO HOMBRE XL; 55.000 ;;7;;;;;;7;7;0;$ 385.000;;;OK
116000000000000185;0185;CAMISETAS;CAMISETA BASICA NEGRA LOGO MUJER XS; 55.000 ;;7;;;;;;7;7;0;$ 385.000;;;OK
116000000000000186;0186;CAMISETAS;CAMISETA BASICA NEGRA LOGO MUJER S; 55.000 ;0;5;1;0;0;0;0;6;6;0;$ 330.000;;;OK
116000000000000187;0187;CAMISETAS;CAMISETA BASICA NEGRA LOGO MUJER M; 55.000 ;;7;;;;;;7;7;0;$ 385.000;;;OK
