MATERIAL;NOMBRE PRODUCTO;INVENTARIO FISICO;INVENTARIO SAP;DIFERENCIA
116000000000000229;BATAS DE LABORATORIO S;18;18;0
116000000000000230;BATAS DE LABORATORIO M;7;7;0
116000000000000231;BATAS DE LABORATORIO L;20;20;0
116000000000000232;BATAS DE LABORATORIO XL;22;22;0
116000000000000172;CAMISETA BAS BLANCA BORDE NEGRO HOMBRE S;0;0;0
116000000000000173;CAMISETA BAS BLANCA BORDE NEGRO HOMBRE M;0;0;0
116000000000000174;CAMISETA BAS BLANCA BORDE NEGRO HOMBRE L;0;0;0
116000000000000175;CAMISETA BAS BLANCA BORDE NEGRO HOMBRE XL;0;0;0
116000000000000180;CAMISETA BAS BLANCA BORDE NEGRO MUJER XS;1;1;0
116000000000000181;CAMISETA BAS BLANCA BORDE NEGRO MUJER S;1;1;0
116000000000000182;CAMISETA BAS BLANCA BORDE NEGRO MUJER M;0;0;0
116000000000000183;CAMISETA BAS BLANCA BORDE NEGRO MUJER L;0;0;0
116000000000000184;CAMISETA BAS BLANCA BORDE NEGRO MUJER XL;0;0;0
116000000000000176;CAMISETA BASICA NEGRA LOGO HOMBRE S;5;5;0
116000000000000177;CAMISETA BASICA NEGRA LOGO HOMBRE M;1;1;0
116000000000000178;CAMISETA BASICA NEGRA LOGO HOMBRE L;10;10;0
116000000000000179;CAMISETA BASICA NEGRA LOGO HOMBRE XL;7;7;0
116000000000000185;CAMISETA BASICA NEGRA LOGO MUJER XS;7;7;0
116000000000000186;CAMISETA BASICA NEGRA LOGO MUJER S;6;6;0
116000000000000187;CAMISETA BASICA NEGRA LOGO MUJER M;7;7;0
116000000000000188;CAMISETA BASICA NEGRA LOGO MUJER L;7;7;0
116000000000000189;CAMISETA BASICA NEGRA LOGO MUJER XL;8;8;0
116000000000000067;CAMISETA BLANCA EAN HOMBRE XS;0;0;0
116000000000000065;CAMISETA BLANCA EAN HOMBRE S;3;3;0
116000000000000064;CAMISETA BLANCA EAN HOMBRE M;8;8;0
116000000000000063;CAMISETA BLANCA EAN HOMBRE L;9;9;0
116000000000000066;CAMISETA BLANCA EAN HOMBRE XL;4;4;0
116000000000000072;CAMISETA BLANCA EAN MUJER XS;0;0;0
116000000000000070;CAMISETA BLANCA EAN MUJER S;6;6;0
116000000000000069;CAMISETA BLANCA EAN MUJER M;9;9;0
116000000000000068;CAMISETA BLANCA EAN MUJER L;4;4;0
116000000000000071;CAMISETA BLANCA EAN MUJER XL;6;6;0
116000000000000404;CAMISETA BLANCA MELI XS;0;1;1
116000000000000430;CAMISETA BLANCA MELI S;0;3;3
116000000000000431;CAMISETA BLANCA MELI M;5;5;0
116000000000000432;CAMISETA BLANCA MELI L;4;4;0
116000000000000433;CAMISETA BLANCA MELI XL;7;7;0
116000000000000434;CAMISETA NEGRA MELI XS;0;1;1
116000000000000435;CAMISETA NEGRA MELI S;0;0;0
116000000000000436;CAMISETA NEGRA MELI M;0;0;0
116000000000000437;CAMISETA NEGRA MELI L;3;3;0
116000000000000438;CAMISETA NEGRA MELI XL;6;6;0
116000000000000405;CAMISETA INFANTIL 4-6;3;3;0
116000000000000406;CAMISETA INFANTIL 6-8;5;5;0
116000000000000407;CAMISETA INFANTIL 8-10;7;7;0
116000000000000408;CAMISETA INFANTIL 10-12;4;4;0
116000000000000409;CAMISETA INFANTIL 12-14;6;6;0
116000000000000410;CAMISETA INFANTIL 14-16;38;38;0
116000000000000047;CAMISETA DEPORTIVA FLORES HOMBRE XS;0;0;0
116000000000000045;CAMISETA DEPORTIVA FLORES HOMBRE S;0;0;0
116000000000000044;CAMISETA DEPORTIVA FLORES HOMBRE M;0;0;0
116000000000000043;CAMISETA DEPORTIVA FLORES HOMBRE L;0;0;0
116000000000000046;CAMISETA DEPORTIVA FLORES HOMBRE XL;0;0;0
116000000000000052;CAMISETA DEPORTIVA FLORES MUJER XS;0;0;0
116000000000000050;CAMISETA DEPORTIVA FLORES MUJER S;0;0;0
116000000000000049;CAMISETA DEPORTIVA FLORES MUJER M;0;0;0
116000000000000048;CAMISETA DEPORTIVA FLORES MUJER L;0;0;0
116000000000000051;CAMISETA DEPORTIVA FLORES MUJER XL;0;0;0
116000000000000247;CAMISETA DEPORTIVA ROSA HOMBRE S;0;0;0
116000000000000246;CAMISETA DEPORTIVA ROSA HOMBRE M;0;1;1
116000000000000245;CAMISETA DEPORTIVA ROSA HOMBRE L;0;0;0
116000000000000244;CAMISETA DEPORTIVA ROSA HOMBRE XL;0;0;0
116000000000000252;CAMISETA DEPORTIVA ROSA MUJER XS;0;0;0
116000000000000251;CAMISETA DEPORTIVA ROSA MUJER S;0;0;0
116000000000000250;CAMISETA DEPORTIVA ROSA MUJER M;0;0;0
116000000000000249;CAMISETA DEPORTIVA ROSA MUJER L;0;0;0
116000000000000248;CAMISETA DEPORTIVA ROSA MUJER XL;0;0;0
116000000000000057;CAMISETA DEPORTIVA VERDE HOMBRE XS;0;0;0
116000000000000055;CAMISETA DEPORTIVA VERDE HOMBRE S;0;0;0
116000000000000054;CAMISETA DEPORTIVA VERDE HOMBRE M;0;0;0
116000000000000053;CAMISETA DEPORTIVA  VERDE HOMBRE L;0;0;0
116000000000000056;CAMISETA DEPORTIVA VERDE HOMBRE XL;0;0;0
116000000000000062;CAMISETA DEPORTIVA VERDE MUJER XS;0;0;0
116000000000000060;CAMISETA DEPORTIVA VERDE MUJER S;0;0;0
116000000000000059;CAMISETA DEPORTIVA VERDE MUJER M;0;0;0
116000000000000058;CAMISETA DEPORTIVA VERDE MUJER L;0;0;0
116000000000000061;CAMISETA DEPORTIVA VERDE MUJER XL;0;0;0
116000000000000256;CAMISETA I LOVE BLANCA HOMBRE S;0;0;0
116000000000000255;CAMISETA I LOVE BLANCA HOMBRE M;0;0;0
116000000000000254;CAMISETA I LOVE BLANCA HOMBRE L;0;0;0
116000000000000253;CAMISETA I LOVE BLANCA HOMBRE XL;0;0;0
116000000000000261;CAMISETA I LOVE BLANCA MUJER XS;0;0;0
116000000000000260;CAMISETA I LOVE BLANCA MUJER S;7;7;0
116000000000000259;CAMISETA I LOVE BLANCA MUJER M;8;7;-1
